name,xTB_ene
GZCGUPFRVQAUEE_104_2_1,-43.299910999999994
GZCGUPFRVQAUEE_104_4_0,-43.254804
GZCGUPFRVQAUEE_104_4_1,-43.266001
GZCGUPFRVQAUEE_104_4_2,-43.257492
GZCGUPFRVQAUEE_104_4_3,-43.266516
GZCGUPFRVQAUEE_117_0_0,-43.233776000000006
GZCGUPFRVQAUEE_117_0_1,-43.234242
GZCGUPFRVQAUEE_117_0_3,-43.236795
GZCGUPFRVQAUEE_119_0_0,-43.224520000000005
GZCGUPFRVQAUEE_119_0_2,-43.22831
GZCGUPFRVQAUEE_119_0_3,-43.22668
GZCGUPFRVQAUEE_120_0_3,-43.240611
GZCGUPFRVQAUEE_124_0_1,-43.188314
GZCGUPFRVQAUEE_139_0_2,-43.253268000000006
GZCGUPFRVQAUEE_139_0_3,-43.240649
GZCGUPFRVQAUEE_13_0_1,-43.215388000000004
GZCGUPFRVQAUEE_13_0_2,-43.213558
GZCGUPFRVQAUEE_13_1_1,-43.244022
GZCGUPFRVQAUEE_13_1_3,-43.239312000000005
GZCGUPFRVQAUEE_13_2_0,-43.255868
GZCGUPFRVQAUEE_13_2_1,-43.265487
GZCGUPFRVQAUEE_13_2_3,-43.258005
GZCGUPFRVQAUEE_145_0_0,-43.245939
GZCGUPFRVQAUEE_145_0_3,-43.248267999999996
GZCGUPFRVQAUEE_151_0_3,-43.254956
GZCGUPFRVQAUEE_153_0_3,-43.195138
GZCGUPFRVQAUEE_154_0_1,-43.214244
GZCGUPFRVQAUEE_155_0_0,-43.223137
GZCGUPFRVQAUEE_155_0_2,-43.214244
GZCGUPFRVQAUEE_156_1_1,-43.241608
GZCGUPFRVQAUEE_156_2_0,-43.275957
GZCGUPFRVQAUEE_156_2_1,-43.283082
GZCGUPFRVQAUEE_156_2_2,-43.281439
GZCGUPFRVQAUEE_156_2_3,-43.275269
GZCGUPFRVQAUEE_157_0_1,-43.214244
GZCGUPFRVQAUEE_15_0_2,-43.226634
GZCGUPFRVQAUEE_15_2_1,-43.283111
GZCGUPFRVQAUEE_15_2_2,-43.284121
GZCGUPFRVQAUEE_15_2_3,-43.282653
GZCGUPFRVQAUEE_15_4_0,-43.261075999999996
