name,xTB_ene
XSASRUDTFFBDDK_10_0_0,-21.475926
XSASRUDTFFBDDK_10_0_1,-21.475059
XSASRUDTFFBDDK_10_0_3,-21.475993
XSASRUDTFFBDDK_13_1_0,-21.477220000000003
XSASRUDTFFBDDK_13_2_0,-21.463752
XSASRUDTFFBDDK_21_0_0,-21.486793
XSASRUDTFFBDDK_24_0_1,-21.443341
XSASRUDTFFBDDK_24_0_2,-21.444969999999998
XSASRUDTFFBDDK_24_0_3,-21.441914
XSASRUDTFFBDDK_25_0_3,-21.521487
XSASRUDTFFBDDK_29_0_3,-21.464025999999997
XSASRUDTFFBDDK_34_1_0,-21.518746
XSASRUDTFFBDDK_34_1_2,-21.5226
XSASRUDTFFBDDK_36_0_0,-21.466846
XSASRUDTFFBDDK_36_0_1,-21.464897
XSASRUDTFFBDDK_38_0_0,-21.482913999999997
XSASRUDTFFBDDK_38_0_3,-21.482495
XSASRUDTFFBDDK_5_0_3,-21.439452
XSASRUDTFFBDDK_6_0_0,-21.43421
XSASRUDTFFBDDK_6_0_1,-21.435185999999998
XSASRUDTFFBDDK_9_0_1,-21.485399
XSASRUDTFFBDDK_9_0_2,-21.484301000000002
XSASRUDTFFBDDK,-21.56877
