name,xTB_ene
BAPJBEWLBFYGME_25_0_0,-19.637336
BAPJBEWLBFYGME_4_1_0,-19.577782
BAPJBEWLBFYGME_5_0_0,-19.586289
BDAGIHXWWSANSR_1_0_0,-11.151676
BDAGIHXWWSANSR_3_0_0,-11.168191
CSCPPACGZOOCGX_2_0_1,-13.327803000000001
CSCPPACGZOOCGX_5_0_0,-13.425567000000001
DQRVWGKCDJKPAQ_11_0_0,-23.732888
DQRVWGKCDJKPAQ_11_1_0,-23.746364
DQRVWGKCDJKPAQ_11_1_3,-23.74672
DQRVWGKCDJKPAQ_16_1_0,-23.712187999999998
DQRVWGKCDJKPAQ_16_1_3,-23.69556
DQRVWGKCDJKPAQ_28_0_0,-23.716773999999997
DQRVWGKCDJKPAQ_29_0_1,-23.686802
DQRVWGKCDJKPAQ_34_0_0,-23.709023000000002
DQRVWGKCDJKPAQ_35_0_0,-23.716086999999998
DQRVWGKCDJKPAQ_37_0_0,-23.691972
DQRVWGKCDJKPAQ_38_0_0,-23.699319
DQRVWGKCDJKPAQ_38_0_2,-23.695874999999997
DQRVWGKCDJKPAQ_42_0_1,-23.682835
DQRVWGKCDJKPAQ_46_0_0,-23.712096
DQRVWGKCDJKPAQ_46_0_1,-23.747022
DQRVWGKCDJKPAQ_46_0_2,-23.726675
FYSNR-WCASX_10_0_0,-33.087215
FYSNR-WCASX_16_0_1,-32.953495
FYSNR-WCASX_21_0_1,-33.071428999999995
FYSNR-WCASX_22_0_3,-33.076961
FYSNR-WCASX_23_0_0,-33.061482
FYSNR-WCASX_23_0_1,-33.077647
FYSNR-WCASX_24_0_1,-33.070345
FYSNR-WCASX_24_0_3,-33.073544
FYSNR-WCASX_27_0_1,-33.036097000000005
FYSNR-WCASX_27_0_2,-33.031667999999996
FYSNR-WCASX_31_0_3,-33.039899999999996
FYSNR-WCASX_32_0_1,-33.029644
FYSNR-WCASX_33_0_2,-33.076533
FYSNR-WCASX_8_1_0,-33.069495
FYSNR-WCASX_8_1_1,-33.090485
FYSNR-WCASX_8_1_3,-33.086633
GMSHJLUJOABYOM_14_0_0,-16.405179
GMSHJLUJOABYOM_3_0_0,-16.447848
GMSHJLUJOABYOM_4_0_0,-16.449323
GOOHAUXETOMSMM_1_0_1,-13.348897999999998
GOOHAUXETOMSMM_3_1_0,-13.407537
GOOHAUXETOMSMM_3_1_1,-13.405614
GOOHAUXETOMSMM_5_0_0,-13.396215
GOOHAUXETOMSMM_7_0_0,-13.392172
GUPGZURVZDIQPM_14_2_0,-23.72446
GUPGZURVZDIQPM_14_2_3,-23.734532
GUPGZURVZDIQPM_15_0_2,-23.683056
GUPGZURVZDIQPM_16_0_0,-23.697813
GUPGZURVZDIQPM_16_0_3,-23.71047
GUPGZURVZDIQPM_24_0_1,-23.703666
GUPGZURVZDIQPM_24_0_2,-23.703412999999998
GUPGZURVZDIQPM_27_0_0,-23.700851
GUPGZURVZDIQPM_34_0_0,-23.682906000000003
GUPGZURVZDIQPM_34_0_2,-23.686314
GUPGZURVZDIQPM_35_0_0,-23.649862
GUPGZURVZDIQPM_38_0_1,-23.676899000000002
GUPGZURVZDIQPM_40_0_3,-23.730279
GUPGZURVZDIQPM_4_0_1,-23.663454
GUPGZURVZDIQPM_5_1_0,-23.686912
GUPGZURVZDIQPM_7_0_0,-23.712804000000002
GUPGZURVZDIQPM_7_0_1,-23.709618
GZNRTVUHAJEUPG_13_0_0,-23.796449
GZNRTVUHAJEUPG_13_0_1,-23.798171
GZNRTVUHAJEUPG_14_0_0,-23.789828
GZNRTVUHAJEUPG_14_0_1,-23.790681
